customer_id,age,gender,marital_status,dependents,education,employment_type,monthly_income,annual_income,existing_loan,existing_loan_amount,monthly_debt,debt_to_income_ratio,savings,bank_balance,assets,credit_history,previous_loans,previous_defaults,payment_history,credit_utilization,credit_score,risk_level
100001,41,Male,Single,0,Undergraduate,Business,50298.26,627344.77,No,0.0,29186.83,0.5803,1896874.57,1790431.71,447999.88,Good,1,0,59.76,0.5566,649,High
100002,28,Male,Single,1,Graduate,Self-employed,50453.12,574514.47,No,0.0,21253.19,0.4212,565833.48,480289.33,2115525.57,Good,3,0,98.48,0.3672,716,Medium
100003,46,Male,Married,2,Undergraduate,Self-employed,134008.81,1518957.11,No,0.0,37882.56,0.2827,348160.24,212884.56,225696.99,Average,4,0,54.76,0.2295,714,High
100004,47,Male,Single,1,Undergraduate,Self-employed,111267.73,1227600.25,Yes,141741.56,29233.43,0.2627,653907.24,638333.65,1726396.04,Good,4,0,100.0,0.3051,743,Medium
100005,21,Female,Married,2,Graduate,Salaried,58334.06,710158.92,No,0.0,25486.97,0.4369,251338.93,183055.09,7358654.18,Average,0,1,72.54,0.3428,642,High
100006,25,Female,Married,0,Graduate,Salaried,61754.55,761164.42,No,0.0,8828.18,0.143,292283.83,228463.47,2094889.75,Poor,1,0,80.45,0.2177,674,High
100007,39,Male,Single,2,Postgraduate,Salaried,112913.51,1170221.44,No,0.0,4673.86,0.0414,112037.4,106511.16,2867475.89,Good,0,0,95.92,0.4389,676,Medium
100008,35,Female,Married,0,Graduate,Salaried,72603.93,885806.93,No,0.0,10190.36,0.1404,513757.24,416831.15,2149339.53,Good,1,0,79.99,0.0532,768,Low
100009,38,Female,Single,1,Graduate,Contract,54066.91,630270.17,No,0.0,7271.83,0.1345,144895.92,61249.39,1933494.01,Good,1,1,75.8,0.2082,617,High
100010,29,Male,Single,3,Undergraduate,Business,58718.03,733843.92,No,0.0,14703.63,0.2504,1020096.39,741783.68,5560210.08,Good,2,0,74.39,0.4404,695,High
100011,47,Male,Single,0,Graduate,Salaried,192283.8,2484753.9,Yes,220731.35,50735.53,0.2639,140221.04,135542.01,427269.95,Good,1,0,92.01,0.411,750,Medium
100012,46,Female,Married,2,Graduate,Salaried,54740.31,611858.62,Yes,229251.52,9784.63,0.1787,309502.25,122584.36,414241.76,Good,3,0,100.0,0.0373,739,Medium
100013,39,Female,Married,1,Graduate,Self-employed,54649.45,640613.85,Yes,130590.43,20376.03,0.3728,88933.23,74653.87,2637864.21,Poor,2,0,79.19,0.0918,677,Medium
100014,49,Female,Married,3,Postgraduate,Self-employed,63545.11,793965.47,Yes,1044801.88,28007.96,0.4408,116606.16,75712.97,1433508.23,Average,4,0,83.77,0.4109,684,High
100015,43,Male,Married,2,Undergraduate,Salaried,67192.13,839740.09,Yes,102755.42,10430.1,0.1552,139134.72,193178.09,1274539.25,Good,1,0,66.38,0.4689,700,High
100016,29,Male,Single,1,Undergraduate,Salaried,43238.0,515762.77,No,0.0,10648.72,0.2463,904307.21,902332.03,8338637.78,Good,4,0,60.57,0.1381,757,High
100017,42,Male,Married,1,Graduate,Self-employed,156424.81,1946588.92,No,0.0,27459.07,0.1755,485405.39,646383.71,2742983.6,Good,1,0,83.2,0.6117,738,High
100018,28,Male,Married,0,Graduate,Self-employed,53162.7,650008.65,Yes,878134.59,19969.01,0.3756,516545.34,364022.19,1641669.77,Average,2,0,100.0,0.165,687,Medium
100019,47,Male,Single,1,Undergraduate,Self-employed,85719.49,1069073.79,No,0.0,24771.02,0.289,974823.93,848610.99,1051042.13,Average,2,0,76.03,0.2783,708,Medium
100020,38,Female,Married,0,Undergraduate,Salaried,160693.82,2009445.13,Yes,609436.38,13585.8,0.0845,293014.82,276205.35,6790108.68,Good,1,1,72.85,0.1027,712,High
100021,36,Male,Single,1,Graduate,Self-employed,54233.22,647567.19,No,0.0,27921.54,0.5148,55280.95,37703.09,2289960.14,Average,2,0,59.91,0.0914,641,High
100022,31,Female,Single,1,Graduate,Self-employed,81307.71,1008332.34,Yes,1133201.27,20777.73,0.2555,318667.23,391268.04,1021532.95,Good,3,0,79.97,0.2511,699,High
100023,50,Male,Single,3,Postgraduate,Salaried,33254.09,397265.37,No,0.0,1293.44,0.0389,478515.47,309232.53,4303429.25,Good,1,1,100.0,0.3915,686,High
100024,36,Male,Single,1,Graduate,Salaried,42646.45,529659.52,No,0.0,10766.83,0.2525,221203.25,158395.16,1684720.13,Average,0,1,73.43,0.2601,615,High
100025,34,Female,Divorced,0,Postgraduate,Self-employed,70694.96,823143.84,No,0.0,52069.72,0.7365,928227.37,734590.05,1222109.58,Good,3,1,82.44,0.1319,705,High
100026,34,Female,Married,1,Graduate,Business,52610.96,642603.82,No,0.0,3792.37,0.0721,164389.98,109573.11,606498.92,Average,2,0,100.0,0.3699,702,Medium
100027,43,Male,Married,1,Undergraduate,Salaried,99266.85,1211425.35,Yes,168326.25,7658.04,0.0771,59390.4,41492.52,5054654.47,Good,2,0,79.41,0.3539,715,Medium
100028,42,Female,Married,2,Graduate,Salaried,49462.14,616074.24,No,0.0,7135.53,0.1443,419277.28,587270.59,784024.71,Good,5,0,100.0,0.4905,692,High
100029,42,Male,Divorced,1,Graduate,Salaried,56881.14,679517.34,No,0.0,9793.93,0.1722,352189.06,329316.53,2902959.58,Good,0,0,99.57,0.0509,707,Low
100030,42,Male,Married,0,Graduate,Business,46598.46,538132.22,No,0.0,25867.72,0.5551,94114.2,110083.45,2057965.85,Good,2,0,86.95,0.3161,682,High
100031,59,Male,Married,4,Graduate,Contract,121029.78,1447957.78,Yes,625532.48,29512.2,0.2438,191388.68,178337.06,2080946.38,Average,1,0,58.52,0.1884,659,High
100032,34,Female,Married,2,Postgraduate,Self-employed,58938.21,666271.5,Yes,320342.3,20601.61,0.3495,360727.39,184744.97,4222689.54,Average,0,0,92.39,0.3546,640,High
100033,33,Male,Divorced,1,Graduate,Salaried,46043.88,543237.06,No,0.0,16023.92,0.348,49023.85,27594.03,1795808.12,Good,1,1,72.97,0.2771,652,High
100034,30,Female,Married,1,Graduate,Self-employed,40696.05,457637.57,Yes,404400.33,12558.29,0.3086,237890.33,111536.43,1752686.72,Good,0,0,,0.1802,773,High
100035,44,Male,Single,1,Postgraduate,Contract,36084.9,434362.3,No,0.0,15304.53,0.4241,257936.71,203734.57,2541800.13,Good,6,0,54.17,0.2172,668,High
100036,49,Male,Married,4,Graduate,Business,95882.89,1201102.17,No,0.0,1901.61,0.02,860417.55,656209.17,1638954.46,Good,2,0,79.82,0.1362,713,Low
